location,YearMonth,MonthlyCases,MonthlyDeaths,CumulativeCases,CumulativeDeaths,InfectionRate
Afghanistan,2020-02,1,NULL,1,NULL,0.0000
Afghanistan,2020-03,174,4,175,4,0.0000
Afghanistan,2020-04,1952,60,2127,64,0.0100
Afghanistan,2020-05,13081,194,15208,258,0.0400
Afghanistan,2020-06,16299,494,31507,752,0.0800
Afghanistan,2020-07,5158,532,36665,1284,0.0900
Afghanistan,2020-08,1494,119,38159,1403,0.1000
Afghanistan,2020-09,1109,57,39268,1460,0.1000
Afghanistan,2020-10,2157,78,41425,1538,0.1100
Afghanistan,2020-11,4849,257,46274,1795,0.1200
Afghanistan,2020-12,5252,396,51526,2191,0.1300
Afghanistan,2021-01,3497,209,55023,2400,0.1400
Afghanistan,2021-02,691,43,55714,2443,0.1400
Afghanistan,2021-03,740,41,56454,2484,0.1500
Afghanistan,2021-04,3291,141,59745,2625,0.1500
Albania,2020-02,NULL,NULL,NULL,NULL,NULL
Albania,2020-03,243,15,243,15,0.0100
Albania,2020-04,530,16,773,31,0.0300
Albania,2020-05,364,2,1137,33,0.0400
Albania,2020-06,1398,29,2535,62,0.0900
Albania,2020-07,2741,95,5276,157,0.1800
Albania,2020-08,4237,127,9513,284,0.3300
Albania,2020-09,4136,103,13649,387,0.4700
Albania,2020-10,7226,122,20875,509,0.7300
Albania,2020-11,17307,301,38182,810,1.3300
Albania,2020-12,20134,371,58316,1181,2.0300
Albania,2021-01,19811,199,78127,1380,2.7100
Albania,2021-02,29040,416,107167,1796,3.7200
Albania,2021-03,17990,439,125157,2235,4.3500
Albania,2021-04,5928,159,131085,2394,4.5600
Algeria,2020-02,1,NULL,1,NULL,0.0000
Algeria,2020-03,715,44,716,44,0.0000
Algeria,2020-04,3290,406,4006,450,0.0100
Algeria,2020-05,5388,203,9394,653,0.0200
Algeria,2020-06,4513,259,13907,912,0.0300
Algeria,2020-07,16487,298,30394,1210,0.0700
Algeria,2020-08,14100,300,44494,1510,0.1000
Algeria,2020-09,7036,226,51530,1736,0.1200
Algeria,2020-10,6412,228,57942,1964,0.1300
Algeria,2020-11,25257,467,83199,2431,0.1900
Algeria,2020-12,16411,325,99610,2756,0.2300
Algeria,2021-01,7729,135,107339,2891,0.2400
Algeria,2021-02,5753,92,113092,2983,0.2600
Algeria,2021-03,4100,110,117192,3093,0.2700
Algeria,2021-04,4916,160,122108,3253,0.2800
Andorra,2020-03,376,12,376,12,0.4900
Andorra,2020-04,369,30,745,42,0.9600
Andorra,2020-05,19,9,764,51,0.9900
Andorra,2020-06,91,1,855,52,1.1100
Andorra,2020-07,70,0,925,52,1.2000
Andorra,2020-08,251,1,1176,53,1.5200
Andorra,2020-09,874,0,2050,53,2.6500
Andorra,2020-10,2706,22,4756,75,6.1600
Andorra,2020-11,1989,1,6745,76,8.7300
Andorra,2020-12,1304,8,8049,84,10.4200
Andorra,2021-01,1888,17,9937,101,12.8600
Andorra,2021-02,929,9,10866,110,14.0600
Andorra,2021-03,1144,5,12010,115,15.5400
Andorra,2021-04,1222,10,13232,125,17.1300
Angola,2020-03,7,2,7,2,0.0000
Angola,2020-04,20,0,27,2,0.0000
Angola,2020-05,59,2,86,4,0.0000
Angola,2020-06,198,9,284,13,0.0000
Angola,2020-07,864,39,1148,52,0.0000
Angola,2020-08,1506,56,2654,108,0.0100
Angola,2020-09,2318,75,4972,183,0.0200
Angola,2020-10,5833,101,10805,284,0.0300
Angola,2020-11,4334,64,15139,348,0.0500
Angola,2020-12,2414,57,17553,405,0.0500
Angola,2021-01,2243,61,19796,466,0.0600
Angola,2021-02,1011,42,20807,508,0.0600
Angola,2021-03,1504,29,22311,537,0.0700
Angola,2021-04,4341,59,26652,596,0.0800
Anguilla,2021-02,NULL,NULL,NULL,NULL,NULL
Anguilla,2021-03,NULL,NULL,NULL,NULL,NULL
Anguilla,2021-04,NULL,NULL,NULL,NULL,NULL
"Antigua and Barbuda",2020-03,7,NULL,7,NULL,0.0100
"Antigua and Barbuda",2020-04,17,3,24,3,0.0200
"Antigua and Barbuda",2020-05,2,0,26,3,0.0300
"Antigua and Barbuda",2020-06,43,0,69,3,0.0700
